Day	Date	Time	Place	Title	Rating
Fri	2005/04/01	22:00	C1GA Cinema 1 General Admit	Radio On	Unclassified 18+
Sat	2005/04/02	11:00	C2GA Cinema 2 General Admit	A Good Woman	PG
Sun	2005/04/03	10:30	C2GA Cinema 2 General Admit	The Incredibles	PG
Sun	2005/04/03	13:00	C2GA Cinema 2 General Admit	The Incredibles	PG
Mon	2005/04/04	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Mon	2005/04/04	13:30	C2GA Cinema 2 General Admit	A Good Woman	PG
Mon	2005/04/04	13:30	C1GA Cinema 1 General Admit	The Iron Giant	PG
Tue	2005/04/05	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Tue	2005/04/05	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Wed	2005/04/06	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Wed	2005/04/06	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Thu	2005/04/07	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Thu	2005/04/07	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Fri	2005/04/08	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Fri	2005/04/08	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Fri	2005/04/08	22:00	C2GA Cinema 2 General Admit	The Fearless Vampire Killers	PG
Fri	2005/04/08	22:00	C1GA Cinema 1 General Admit	The Fearless Vampire Killers	PG
Sat	2005/04/09	11:00	C2GA Cinema 2 General Admit	Facing Windows	M
Sat	2005/04/09	14:00	C2GA Cinema 2 General Admit	The Big Steal	PG
Sun	2005/04/10	10:30	C2GA Cinema 2 General Admit	The Cat Returns	G
Sun	2005/04/10	13:00	C2GA Cinema 2 General Admit	The Cat Returns	G
Mon	2005/04/11	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Mon	2005/04/11	13:30	C2GA Cinema 2 General Admit	Facing Windows	M
Mon	2005/04/11	13:30	C1GA Cinema 1 General Admit	The Iron Giant	PG
Tue	2005/04/12	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Tue	2005/04/12	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Wed	2005/04/13	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Wed	2005/04/13	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Thu	2005/04/14	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Thu	2005/04/14	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Fri	2005/04/15	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks - Autumn 2005	
Fri	2005/04/15	13:30	C2GA Cinema 2 General Admit	The Iron Giant	PG
Fri	2005/04/15	22:00	C2GA Cinema 2 General Admit	The Asphalt Jungle	PG
Sat	2005/04/16	11:00	C1GA Cinema 1 General Admit	Facing Windows	M
Sat	2005/04/16	14:00	C1GA Cinema 1 General Admit	Storm Boy	G
Sun	2005/04/17	10:30	C1GA Cinema 1 General Admit	The Princess Bride	PG
Sun	2005/04/17	13:00	C1GA Cinema 1 General Admit	The Princess Bride	PG
Mon	2005/04/18	13:30	C2GA Cinema 2 General Admit	Facing Windows	M
Fri	2005/04/22	22:00	C1GA Cinema 1 General Admit	Foxy Brown	Unclassified 18+
Sat	2005/04/23	11:00	C1GA Cinema 1 General Admit	Vanity Fair	PG
Sat	2005/04/23	14:00	C1GA Cinema 1 General Admit	The Getting of Wisdom	PG
Sun	2005/04/24	10:30	C1GA Cinema 1 General Admit	The Wizard of Oz	G
Sun	2005/04/24	13:00	C1GA Cinema 1 General Admit	The Wizard of Oz	G
Mon	2005/04/25	13:30	C2GA Cinema 2 General Admit	Vanity Fair	PG
Fri	2005/04/29	22:00	C2GA Cinema 2 General Admit	Forbidden Planet	PG
Sat	2005/04/30	11:00	C2GA Cinema 2 General Admit	Vanity Fair	PG
Sat	2005/04/30	14:00	C2GA Cinema 2 General Admit	My Brilliant Career	G
Sun	2005/05/01	10:30	C2GA Cinema 2 General Admit	Kiki's Delivery Service	G
Sun	2005/05/01	13:00	C2GA Cinema 2 General Admit	Kiki's Delivery Service	G
Mon	2005/05/02	13:30	C2GA Cinema 2 General Admit	Vanity Fair	PG
Fri	2005/05/06	22:00	C1GA Cinema 1 General Admit	Bullitt	M
Sat	2005/05/07	11:00	C2GA Cinema 2 General Admit	Finding Neverland	PG
Sat	2005/05/07	14:00	C2GA Cinema 2 General Admit	You Can't See 'Round Corners	18+
Sun	2005/05/08	10:30	C2GA Cinema 2 General Admit	P.J. Hogan's Peter Pan	PG
Sun	2005/05/08	13:00	C2GA Cinema 2 General Admit	P.J. Hogan's Peter Pan	PG
Mon	2005/05/09	13:30	C2GA Cinema 2 General Admit	Finding Neverland	PG
Fri	2005/05/13	22:00	C1GA Cinema 1 General Admit	Braindead	Unclassified 18+
Sat	2005/05/14	11:00	C2GA Cinema 2 General Admit	Finding Neverland	PG
Sat	2005/05/14	14:00	C2GA Cinema 2 General Admit	The Man From Hong Kong	R18+
Sun	2005/05/15	10:30	C2GA Cinema 2 General Admit	The Triplets of Belleville	PG
Sun	2005/05/15	10:30	C1GA Cinema 1 General Admit	The Triplets of Belleville	PG
Sun	2005/05/15	13:00	C2GA Cinema 2 General Admit	The Triplets of Belleville	PG
Mon	2005/05/16	13:30	C2GA Cinema 2 General Admit	Finding Neverland	PG
Fri	2005/05/20	22:00	C1GA Cinema 1 General Admit	The Honeymoon Killers	M
Sat	2005/05/21	11:00	C1GA Cinema 1 General Admit	Les Choristes	M
Sat	2005/05/21	14:00	C2GA Cinema 2 General Admit	The Cars That Ate Paris	M15+
Sun	2005/05/22	10:30	C2GA Cinema 2 General Admit	ADVANCE PREVIEW: Pooh's Heffalump Movie	G
Sun	2005/05/22	13:00	C2GA Cinema 2 General Admit	ADVANCE PREVIEW: Pooh's Heffalump Movie	G
Mon	2005/05/23	13:30	C2GA Cinema 2 General Admit	Les Choristes	M
Fri	2005/05/27	22:00	C2GA Cinema 2 General Admit	The Detective	Unclassified 18+
